retailer_id,territory_id,state,district,tehsil,lat,lng,total_sales,avg_sales,total_quantity,unique_skus,transaction_count,stockout_count,avg_inventory,stockout_rate,retailer_visit_count,last_retailer_visit,unique_products_recommended,days_since_visit,campaign_count,last_campaign,days_since_campaign,wa_messages_sent,wa_open_rate,wa_click_rate,priority_label,priority_score
RTL_00001,TER_0001,Bihar,Patna,Patna_T012,25.871040084191854,84.03491487334259,671910.84,11388.319322033898,568,3,59,1,81.14102564102564,0.01282051282051282,35,2026-03-15,10,14,28,2026-03-15,14,1.0,0.0,0.0,0,0.28078611969196055
RTL_00002,TER_0001,Bihar,Patna,Patna_T004,26.9150311555221,79.33264174126366,942073.1900000001,10022.055212765958,880,4,94,4,91.58653846153847,0.038461538461538464,35,2026-03-15,10,14,28,2026-03-15,14,1.0,1.0,0.0,1,0.3947422841501938
RTL_00003,TER_0001,Bihar,Patna,Patna_T002,22.26231182953856,81.37958609173111,823296.73,13278.979516129031,675,3,62,0,57.52564102564103,0.0,35,2026-03-15,10,14,28,2026-03-15,14,1.0,0.0,0.0,0,0.2943718580544526
RTL_00004,TER_0001,Bihar,Patna,Patna_T007,25.318711014046876,76.1759053484308,463768.32,6820.122352941176,384,3,68,0,128.05128205128204,0.0,35,2026-03-15,10,14,28,2026-03-15,14,0.0,0.0,0.0,0,0.217577273039675
RTL_00005,TER_0001,Bihar,Patna,Patna_T007,27.641554188394032,80.86580772822994,482190.17000000004,8929.447592592593,309,2,54,0,61.96153846153846,0.0,35,2026-03-15,10,14,28,2026-03-15,14,0.0,0.0,0.0,0,0.22151214518497914
RTL_00006,TER_0001,Bihar,Patna,Patna_T006,22.243781557179418,78.2063499952338,1237231.43,17930.890289855073,826,4,69,2,88.0673076923077,0.019230769230769232,35,2026-03-15,10,14,28,2026-03-15,14,1.0,0.0,0.0,0,0.4202875232023513
RTL_00007,TER_0001,Bihar,Patna,Patna_T009,26.00392895591102,73.0468359971506,505741.07,8429.017833333333,392,3,60,0,66.23076923076923,0.0,35,2026-03-15,10,14,28,2026-03-15,14,2.0,0.0,0.0,0,0.22654257266141842
RTL_00008,TER_0001,Bihar,Patna,Patna_T008,18.418670057141433,77.09057617151068,844003.49,11253.379866666666,564,3,75,3,91.28205128205128,0.038461538461538464,35,2026-03-15,10,14,28,2026-03-15,14,0.0,0.0,0.0,1,0.3550447826327929
RTL_00009,TER_0001,Bihar,Patna,Patna_T007,22.60097300313317,78.93697515139291,1166361.69,11781.431212121212,806,4,99,4,74.75961538461539,0.038461538461538464,35,2026-03-15,10,14,28,2026-03-15,14,0.0,0.0,0.0,1,0.4426498814415648
RTL_00010,TER_0002,Haryana,Hisar,Hisar_T001,30.15220217522786,76.73295283565449,417967.55,9499.262499999999,309,2,44,2,87.13461538461539,0.038461538461538464,34,2026-03-15,10,14,25,2026-03-14,15,5.0,0.4,0.0,0,0.24270810872535686
RTL_00011,TER_0002,Haryana,Hisar,Hisar_T004,28.34408672685808,75.9874559695463,635627.57,11992.973018867924,557,3,53,2,60.69230769230769,0.02564102564102564,34,2026-03-15,10,14,25,2026-03-14,15,1.0,0.0,0.0,0,0.28919987528758256
RTL_00012,TER_0002,Haryana,Hisar,Hisar_T007,30.20129395304862,75.04246978020083,502310.92,10046.2184,376,2,50,2,78.09615384615384,0.038461538461538464,34,2026-03-15,10,14,25,2026-03-14,15,3.0,0.3333333333333333,0.3333333333333333,0,0.26072369224460595
RTL_00013,TER_0002,Haryana,Hisar,Hisar_T007,30.199359763309868,76.64400122165299,726951.24,16154.472,617,2,45,1,66.67307692307692,0.019230769230769232,34,2026-03-15,10,14,25,2026-03-14,15,3.0,0.3333333333333333,0.3333333333333333,0,0.28995643761926726
RTL_00014,TER_0002,Haryana,Hisar,Hisar_T010,29.865882200323394,77.56777375587654,337511.24,6750.2248,275,2,50,1,76.17307692307692,0.019230769230769232,34,2026-03-15,10,14,25,2026-03-14,15,2.0,0.0,0.0,0,0.2067727938339125
RTL_00015,TER_0002,Haryana,Hisar,Hisar_T001,30.62142904457726,76.58833973421883,779127.58,9387.079277108433,579,4,83,2,96.74038461538461,0.019230769230769232,34,2026-03-15,10,14,25,2026-03-14,15,5.0,0.4,0.0,0,0.31985120467088896
RTL_00016,TER_0002,Haryana,Hisar,Hisar_T010,29.627617995253853,74.9589730882691,495323.31,12081.056341463414,373,2,41,2,53.44230769230769,0.038461538461538464,34,2026-03-15,10,14,25,2026-03-14,15,2.0,0.0,0.0,0,0.25923115203006464
RTL_00017,TER_0002,Haryana,Hisar,Hisar_T007,30.769028665505765,75.88458008525801,930852.66,12751.406301369863,789,4,73,3,77.33653846153847,0.028846153846153848,34,2026-03-15,10,14,25,2026-03-14,15,3.0,0.3333333333333333,0.3333333333333333,1,0.37100939337267735
RTL_00018,TER_0003,Uttar Pradesh,Varanasi,Varanasi_T008,28.867013150136263,81.24780583568236,828942.0800000001,9010.240000000002,624,4,92,0,100.79807692307692,0.0,27,2026-03-08,9,21,13,2026-03-07,22,0.0,0.0,0.0,0,0.28888803891183457
RTL_00019,TER_0003,Uttar Pradesh,Varanasi,Varanasi_T001,27.99671049285944,81.55375228119773,851796.5299999999,11207.849078947367,754,4,76,4,75.45192307692308,0.038461538461538464,27,2026-03-08,9,21,13,2026-03-07,22,1.0,0.0,0.0,1,0.3687697059920271
RTL_00020,TER_0003,Uttar Pradesh,Varanasi,Varanasi_T006,24.644610240770405,78.0511124833283,737380.8,10534.01142857143,577,3,70,4,86.8076923076923,0.05128205128205128,27,2026-03-08,9,21,13,2026-03-07,22,0.0,0.0,0.0,1,0.3443307235357788
RTL_00021,TER_0003,Uttar Pradesh,Varanasi,Varanasi_T005,29.976030480823052,78.77879157034562,386965.36,12898.845333333333,270,2,30,1,60.09615384615385,0.019230769230769232,27,2026-03-08,9,21,13,2026-03-07,22,0.0,0.0,0.0,0,0.21323265159183794
RTL_00022,TER_0003,Uttar Pradesh,Varanasi,Varanasi_T007,26.92168856950878,83.97584672001852,1222005.28,14722.955180722893,1005,4,83,2,70.76923076923077,0.019230769230769232,27,2026-03-08,9,21,13,2026-03-07,22,0.0,0.0,0.0,0,0.41034559133051685
RTL_00023,TER_0003,Uttar Pradesh,Varanasi,Varanasi_T007,28.287057262350427,81.60678395101792,1041500.6,15094.211594202898,753,4,69,4,94.36538461538461,0.038461538461538464,27,2026-03-08,9,21,13,2026-03-07,22,0.0,0.0,0.0,1,0.40929013477056037
RTL_00024,TER_0003,Uttar Pradesh,Varanasi,Varanasi_T009,28.100997335982118,81.20814099773007,337831.86,10237.32909090909,272,2,33,2,106.38461538461539,0.038461538461538464,27,2026-03-08,9,21,13,2026-03-07,22,0.0,0.0,0.0,0,0.22148782938064307
RTL_00025,TER_0004,Rajasthan,Bharatpur,Bharatpur_T004,25.360268845894502,72.09558203624653,918773.4600000001,17668.720384615386,627,3,52,1,112.55128205128206,0.01282051282051282,31,2026-02-27,8,30,21,2026-02-23,34,3.0,0.6666666666666666,0.0,0,0.3551706785221449
RTL_00026,TER_0004,Rajasthan,Bharatpur,Bharatpur_T008,29.931998466088178,70.00560967449418,538338.42,13803.549230769231,450,2,39,2,66.9423076923077,0.038461538461538464,31,2026-02-27,8,30,21,2026-02-23,34,1.0,1.0,0.0,0,0.292660477076923
RTL_00027,TER_0004,Rajasthan,Bharatpur,Bharatpur_T004,27.274468522595196,70.53992169231724,589557.15,17865.368181818183,464,2,33,2,55.75,0.038461538461538464,31,2026-02-27,8,30,21,2026-02-23,34,3.0,0.6666666666666666,0.0,0,0.30360070045268894
RTL_00028,TER_0004,Rajasthan,Bharatpur,Bharatpur_T005,27.47074229428263,71.26729460141938,905505.42,12404.183835616439,670,4,73,1,77.66346153846153,0.009615384615384616,31,2026-02-27,8,30,21,2026-02-23,34,2.0,0.5,0.0,0,0.3523366503969142
RTL_00029,TER_0004,Rajasthan,Bharatpur,Bharatpur_T007,24.377620028148936,71.40937711946096,744001.82,15183.710612244897,515,3,49,2,145.5897435897436,0.02564102564102564,31,2026-02-27,8,30,21,2026-02-23,34,0.0,0.0,0.0,0,0.3365897884093104
RTL_00030,TER_0005,Maharashtra,Jalgaon,Jalgaon_T008,18.911464374374347,74.09308410428523,629722.82,10673.26813559322,408,3,59,2,47.94871794871795,0.02564102564102564,38,2026-03-18,10,11,47,2026-03-20,9,2.0,0.0,0.0,0,0.2922834594970393
RTL_00031,TER_0005,Maharashtra,Jalgaon,Jalgaon_T001,15.67885556072917,76.26250063745982,544494.85,8782.175,465,3,62,0,68.1025641025641,0.0,38,2026-03-18,10,11,47,2026-03-20,9,1.0,0.0,0.0,0,0.23657892709916312
RTL_00032,TER_0005,Maharashtra,Jalgaon,Jalgaon_T007,18.950106598369857,72.90835340861042,849899.65,13708.058870967743,623,3,62,1,113.67948717948718,0.01282051282051282,38,2026-03-18,10,11,47,2026-03-20,9,1.0,0.0,0.0,0,0.3205628118915253
RTL_00033,TER_0005,Maharashtra,Jalgaon,Jalgaon_T006,17.19607371294809,75.65377618921349,436658.63,12129.406388888889,342,2,36,0,119.17307692307692,0.0,38,2026-03-18,10,11,47,2026-03-20,9,2.0,0.0,0.0,0,0.2135453154731382
RTL_00034,TER_0005,Maharashtra,Jalgaon,Jalgaon_T007,19.145166922962574,77.51251398402732,164825.51,4337.513421052632,142,2,38,0,115.23076923076923,0.0,38,2026-03-18,10,11,47,2026-03-20,9,1.0,0.0,0.0,0,0.1554822777185635
RTL_00035,TER_0005,Maharashtra,Jalgaon,Jalgaon_T003,19.513695692483598,75.9237358394031,743036.99,11794.237936507936,514,3,63,3,74.24358974358974,0.038461538461538464,38,2026-03-18,10,11,47,2026-03-20,9,0.0,0.0,0.0,1,0.3352371508310398
RTL_00036,TER_0006,Uttar Pradesh,Lucknow,Lucknow_T008,25.25970340216641,83.67427088040064,1084943.4000000001,30137.31666666667,664,2,36,0,88.5,0.0,25,2026-03-16,9,13,18,2026-03-22,7,1.0,0.0,0.0,0,0.3223970204850536
RTL_00037,TER_0006,Uttar Pradesh,Lucknow,Lucknow_T003,29.135337676599157,78.48776448493324,839661.21,14231.54593220339,516,3,59,1,93.75641025641026,0.01282051282051282,25,2026-03-16,9,13,18,2026-03-22,7,0.0,0.0,0.0,0,0.2887552109127145
RTL_00038,TER_0006,Uttar Pradesh,Lucknow,Lucknow_T010,24.444374036893695,78.90283102373095,879122.83,12042.778493150685,555,3,73,2,50.47435897435897,0.02564102564102564,25,2026-03-16,9,13,18,2026-03-22,7,1.0,0.0,0.0,0,0.3159341379394016
RTL_00039,TER_0006,Uttar Pradesh,Lucknow,Lucknow_T009,29.45017759151534,78.79801357263405,296678.99,9889.299666666666,200,2,30,3,68.86538461538461,0.057692307692307696,25,2026-03-16,9,13,18,2026-03-22,7,2.0,0.5,0.0,0,0.21027524077543758
RTL_00040,TER_0006,Uttar Pradesh,Lucknow,Lucknow_T001,26.540793000147467,78.53568634562991,748252.72,12266.438032786884,575,3,61,1,77.07692307692308,0.01282051282051282,25,2026-03-16,9,13,18,2026-03-22,7,1.0,1.0,0.0,0,0.2692305311902485
RTL_00041,TER_0006,Uttar Pradesh,Lucknow,Lucknow_T007,25.280231392997184,84.14559994546576,597263.33,8655.990289855072,450,3,69,0,115.74358974358974,0.0,25,2026-03-16,9,13,18,2026-03-22,7,2.0,0.0,0.0,0,0.21822948447412274
RTL_00042,TER_0006,Uttar Pradesh,Lucknow,Lucknow_T010,29.445953331736668,78.26415722053693,638031.75,8622.050675675675,555,3,74,1,147.0,0.01282051282051282,25,2026-03-16,9,13,18,2026-03-22,7,1.0,0.0,0.0,0,0.24568754149695485
RTL_00043,TER_0006,Uttar Pradesh,Lucknow,Lucknow_T010,26.082962387288188,79.79008502329438,901961.7699999999,15032.696166666665,659,3,60,4,92.96153846153847,0.05128205128205128,25,2026-03-16,9,13,18,2026-03-22,7,1.0,0.0,0.0,1,0.3583124921130743
RTL_00044,TER_0007,Madhya Pradesh,Ratlam,Ratlam_T006,24.081967588643344,76.65740988071818,280165.25,6367.392045454545,215,2,44,1,77.11538461538461,0.019230769230769232,39,2026-02-14,11,43,24,2026-03-26,3,1.0,0.0,0.0,0,0.26545483385108337
RTL_00045,TER_0007,Madhya Pradesh,Ratlam,Ratlam_T001,21.503657023960095,75.13199686007064,1070369.3,12896.015662650603,913,4,83,5,80.9326923076923,0.04807692307692308,39,2026-02-14,11,43,24,2026-03-26,3,2.0,0.5,0.0,1,0.5092409169779955
RTL_00046,TER_0007,Madhya Pradesh,Ratlam,Ratlam_T001,24.830163236296407,80.60066512098737,569627.2,8900.425,399,3,64,1,116.8076923076923,0.01282051282051282,39,2026-02-14,11,43,24,2026-03-26,3,2.0,0.5,0.0,0,0.32728335618626764
RTL_00047,TER_0007,Madhya Pradesh,Ratlam,Ratlam_T006,23.16266075573609,78.50623368141342,638444.27,10466.299508196722,599,3,61,2,133.19230769230768,0.02564102564102564,39,2026-02-14,11,43,24,2026-03-26,3,1.0,0.0,0.0,0,0.3607325515365959
RTL_00048,TER_0007,Madhya Pradesh,Ratlam,Ratlam_T004,21.451519139773932,79.08818890321706,640426.87,8654.417162162163,692,4,74,0,116.57692307692308,0.0,39,2026-02-14,11,43,24,2026-03-26,3,1.0,0.0,0.0,0,0.3236560311282373
RTL_00049,TER_0007,Madhya Pradesh,Ratlam,Ratlam_T002,25.558441931961845,78.37587148929198,1307561.0,17911.794520547945,889,4,73,2,123.0673076923077,0.019230769230769232,39,2026-02-14,11,43,24,2026-03-26,3,2.0,0.0,0.0,0,0.5036546132640543
RTL_00050,TER_0008,Rajasthan,Bikaner,Bikaner_T007,23.52021619988476,73.87116347816482,329657.09,7166.45847826087,249,2,46,0,95.17307692307692,0.0,23,2026-03-27,10,2,20,2026-03-29,0,2.0,0.5,0.5,0,0.13389688646034825
RTL_00051,TER_0008,Rajasthan,Bikaner,Bikaner_T004,24.61658542470889,76.90976063319864,844680.77,12995.08876923077,666,3,65,2,86.44871794871794,0.02564102564102564,23,2026-03-27,10,2,20,2026-03-29,0,1.0,0.0,0.0,0,0.28140496559485556
RTL_00052,TER_0008,Rajasthan,Bikaner,Bikaner_T002,24.205557798951347,76.69974264422166,635632.6,8149.135897435897,521,3,78,0,44.37179487179487,0.0,23,2026-03-27,10,2,20,2026-03-29,0,3.0,0.3333333333333333,0.0,0,0.19925267382395304
RTL_00053,TER_0008,Rajasthan,Bikaner,Bikaner_T001,23.371927757664324,70.6032935452741,1165037.0,15329.434210526315,865,4,76,5,90.75,0.04807692307692308,23,2026-03-27,10,2,20,2026-03-29,0,0.0,0.0,0.0,0,0.4060824474168029
RTL_00054,TER_0008,Rajasthan,Bikaner,Bikaner_T003,28.814727954011204,71.29816832570366,705207.97,8496.48156626506,615,4,83,2,80.1923076923077,0.019230769230769232,23,2026-03-27,10,2,20,2026-03-29,0,1.0,0.0,0.0,0,0.25161384061296865
RTL_00055,TER_0008,Rajasthan,Bikaner,Bikaner_T004,27.33931390721103,74.87004383649935,940561.61,27663.576764705882,666,2,34,3,47.92307692307692,0.057692307692307696,23,2026-03-27,10,2,20,2026-03-29,0,1.0,0.0,0.0,0,0.3206349307766566
RTL_00056,TER_0009,Uttar Pradesh,Kanpur Nagar,Kanpur_Nagar_T006,24.80766696141443,80.76445201628896,714547.12,9924.265555555556,621,4,72,8,61.71153846153846,0.07692307692307693,20,2026-03-22,9,7,16,2026-03-20,9,3.0,0.0,0.0,0,0.3683500446122463
RTL_00057,TER_0009,Uttar Pradesh,Kanpur Nagar,Kanpur_Nagar_T004,29.19063386035375,83.75347002158871,561959.84,9524.743050847457,376,3,59,1,91.21794871794872,0.01282051282051282,20,2026-03-22,9,7,16,2026-03-20,9,0.0,0.0,0.0,0,0.2045076916292549
RTL_00058,TER_0009,Uttar Pradesh,Kanpur Nagar,Kanpur_Nagar_T008,26.02452560412798,79.51626763708961,579116.05,10341.358035714287,468,3,56,2,82.14102564102564,0.02564102564102564,20,2026-03-22,9,7,16,2026-03-20,9,0.0,0.0,0.0,0,0.2269222254761806
RTL_00059,TER_0009,Uttar Pradesh,Kanpur Nagar,Kanpur_Nagar_T006,27.4566498065794,79.22583420272609,687043.85,13212.38173076923,517,3,52,1,74.08974358974359,0.01282051282051282,20,2026-03-22,9,7,16,2026-03-20,9,3.0,0.0,0.0,0,0.23122539841613796
RTL_00060,TER_0009,Uttar Pradesh,Kanpur Nagar,Kanpur_Nagar_T006,25.40752276617348,81.83671586326071,313388.71,9217.315,211,2,34,0,59.76923076923077,0.0,20,2026-03-22,9,7,16,2026-03-20,9,3.0,0.0,0.0,0,0.13266337072425513
RTL_00061,TER_0009,Uttar Pradesh,Kanpur Nagar,Kanpur_Nagar_T007,28.024049250434064,82.63898116377605,586294.37,11062.157924528301,442,3,53,2,49.743589743589745,0.02564102564102564,20,2026-03-22,9,7,16,2026-03-20,9,0.0,0.0,0.0,0,0.22845550098423648
RTL_00062,TER_0009,Uttar Pradesh,Kanpur Nagar,Kanpur_Nagar_T005,28.327233307025033,79.38998898254297,546308.78,14765.102162162162,553,2,37,1,94.26923076923077,0.019230769230769232,20,2026-03-22,9,7,16,2026-03-20,9,2.0,0.0,0.0,0,0.20116465496146727
RTL_00063,TER_0009,Uttar Pradesh,Kanpur Nagar,Kanpur_Nagar_T007,30.141662293501,77.86515902878541,846057.03,11433.203108108108,636,4,74,1,78.47115384615384,0.009615384615384616,20,2026-03-22,9,7,16,2026-03-20,9,0.0,0.0,0.0,0,0.2651903114253217
RTL_00064,TER_0009,Uttar Pradesh,Kanpur Nagar,Kanpur_Nagar_T005,29.989971909116417,82.96469702503458,993350.03,13990.845492957747,658,4,71,2,107.16346153846153,0.019230769230769232,20,2026-03-22,9,7,16,2026-03-20,9,2.0,0.0,0.0,0,0.31540181626323316
RTL_00065,TER_0009,Uttar Pradesh,Kanpur Nagar,Kanpur_Nagar_T002,27.68483358894146,78.3897795496769,503452.32999999996,14384.352285714285,331,2,35,1,61.73076923076923,0.019230769230769232,20,2026-03-22,9,7,16,2026-03-20,9,1.0,0.0,0.0,0,0.19201059869938614
RTL_00066,TER_0010,Rajasthan,Sikar,Sikar_T004,28.726632062108166,76.0264888541031,848062.27,19722.378372093022,571,2,43,3,70.71153846153847,0.057692307692307696,40,2026-03-08,11,21,27,2026-02-27,30,0.0,0.0,0.0,1,0.3828427648089654
RTL_00067,TER_0010,Rajasthan,Sikar,Sikar_T001,28.143888454939272,74.65286919561674,429256.35000000003,14308.545000000002,360,2,30,2,76.71153846153847,0.038461538461538464,40,2026-03-08,11,21,27,2026-02-27,30,0.0,0.0,0.0,0,0.27463661632787006
RTL_00068,TER_0010,Rajasthan,Sikar,Sikar_T006,30.009519927031267,71.08320159361311,579256.63,6365.457472527472,442,4,91,2,105.45192307692308,0.019230769230769232,40,2026-03-08,11,21,27,2026-02-27,30,1.0,0.0,0.0,0,0.3066763910280125
RTL_00069,TER_0010,Rajasthan,Sikar,Sikar_T005,27.565191547560357,76.8670197843927,697462.63,10897.85359375,554,3,64,0,120.94871794871794,0.0,40,2026-03-08,11,21,27,2026-02-27,30,0.0,0.0,0.0,0,0.2944249679520358
RTL_00070,TER_0010,Rajasthan,Sikar,Sikar_T001,29.69950519392428,76.48571777919975,478847.19,9772.391632653062,340,2,49,5,41.71153846153846,0.09615384615384616,40,2026-03-08,11,21,27,2026-02-27,30,0.0,0.0,0.0,0,0.34147912549379167
RTL_00071,TER_0010,Rajasthan,Sikar,Sikar_T003,23.18258381525503,71.01461104027346,677364.72,11480.757966101695,514,3,59,3,90.2051282051282,0.038461538461538464,40,2026-03-08,11,21,27,2026-02-27,30,1.0,0.0,0.0,0,0.3463820925764449
RTL_00072,TER_0011,Madhya Pradesh,Sehore,Sehore_T004,21.130319091326516,79.3784362170859,488587.41000000003,6881.512816901409,418,3,71,0,103.92307692307692,0.0,18,2026-03-25,8,4,4,2026-02-26,31,2.0,0.0,0.0,0,0.15891306624826662
RTL_00073,TER_0011,Madhya Pradesh,Sehore,Sehore_T011,22.48060571272782,74.49112961642184,468061.77,14183.69,334,2,33,4,81.0576923076923,0.07692307692307693,18,2026-03-25,8,4,4,2026-02-26,31,2.0,0.0,0.0,0,0.22952882855766873
RTL_00074,TER_0011,Madhya Pradesh,Sehore,Sehore_T002,26.25947352847091,75.76078545271962,382364.58,9325.965365853659,299,2,41,5,129.25,0.09615384615384616,18,2026-03-25,8,4,4,2026-02-26,31,1.0,0.0,0.0,0,0.2299740716596463
RTL_00075,TER_0011,Madhya Pradesh,Sehore,Sehore_T011,24.79493784124872,82.39828889190527,1131446.3699999999,19849.936315789473,854,3,57,2,83.88461538461539,0.02564102564102564,18,2026-03-25,8,4,4,2026-02-26,31,2.0,0.0,0.0,0,0.3337265182122754
RTL_00076,TER_0011,Madhya Pradesh,Sehore,Sehore_T001,24.818623387198,79.27089722728536,1100271.49,15072.212191780822,684,3,73,3,74.52564102564102,0.038461538461538464,18,2026-03-25,8,4,4,2026-02-26,31,2.0,0.5,0.0,0,0.34581762309885317
RTL_00077,TER_0011,Madhya Pradesh,Sehore,Sehore_T001,21.147262149698545,79.7062084545659,379341.0,11854.40625,350,2,32,2,71.86538461538461,0.038461538461538464,18,2026-03-25,8,4,4,2026-02-26,31,2.0,0.5,0.0,0,0.17307824071861166
RTL_00078,TER_0011,Madhya Pradesh,Sehore,Sehore_T004,22.18889291226366,74.15457598541867,745837.4,13811.803703703705,562,3,54,0,126.53846153846153,0.0,18,2026-03-25,8,4,4,2026-02-26,31,2.0,0.0,0.0,0,0.21386117515322264
RTL_00079,TER_0011,Madhya Pradesh,Sehore,Sehore_T004,23.825398528877443,74.09315229404527,443746.99,11093.67475,331,2,40,0,115.17307692307692,0.0,18,2026-03-25,8,4,4,2026-02-26,31,2.0,0.0,0.0,0,0.14933523776514804
RTL_00080,TER_0011,Madhya Pradesh,Sehore,Sehore_T001,23.4917118846592,75.6295153625947,837188.1,9513.501136363637,645,4,88,1,131.5,0.009615384615384616,18,2026-03-25,8,4,4,2026-02-26,31,2.0,0.5,0.0,0,0.25212351104153097
RTL_00081,TER_0012,Gujarat,Ahmedabad,Ahmedabad_T010,27.88680390156042,73.98709525659173,437889.09,12511.116857142857,343,2,35,1,64.59615384615384,0.019230769230769232,26,2026-02-05,8,52,19,2026-01-31,57,3.0,0.3333333333333333,0.3333333333333333,0,0.28352365663176315
RTL_00082,TER_0012,Gujarat,Ahmedabad,Ahmedabad_T003,27.560137643564214,84.73436811492908,964590.47,10961.25534090909,734,4,88,2,82.0576923076923,0.019230769230769232,26,2026-02-05,8,52,19,2026-01-31,57,2.0,0.0,0.0,0,0.41477607029028507
RTL_00083,TER_0012,Gujarat,Ahmedabad,Ahmedabad_T004,18.412267226354135,82.44981972544268,809176.8300000001,12643.387968750001,620,3,64,2,73.78205128205128,0.02564102564102564,26,2026-02-05,8,52,19,2026-01-31,57,5.0,0.0,0.0,0,0.3815800121833999
RTL_00084,TER_0012,Gujarat,Ahmedabad,Ahmedabad_T003,26.318576094898155,78.58579485299234,935783.64,12818.95397260274,720,4,73,2,96.26923076923077,0.019230769230769232,26,2026-02-05,8,52,19,2026-01-31,57,2.0,0.0,0.0,0,0.40862298615587345
RTL_00085,TER_0012,Gujarat,Ahmedabad,Ahmedabad_T008,23.066515090764113,76.96583306410552,461314.48,12467.95891891892,299,2,37,0,109.59615384615384,0.0,26,2026-02-05,8,52,19,2026-01-31,57,0.0,0.0,0.0,0,0.26977727541076124
RTL_00086,TER_0012,Gujarat,Ahmedabad,Ahmedabad_T011,18.186106540185556,84.84462631021363,410133.8,8202.676,338,2,50,0,104.61538461538461,0.0,26,2026-02-05,8,52,19,2026-01-31,57,3.0,0.6666666666666666,0.0,0,0.25884517944267316
RTL_00087,TER_0012,Gujarat,Ahmedabad,Ahmedabad_T002,23.10434665926896,84.04735444092256,535140.38,9388.427719298246,507,3,57,2,107.14102564102564,0.02564102564102564,26,2026-02-05,8,52,19,2026-01-31,57,2.0,0.0,0.0,0,0.3230463473287286
